id,created_at,original_text,clean_text,polarity
1154978440128258053,Sat Jul 27 04:54:53 +0000 2019,"Anyway I really like the new animation program (which I think is Harmony?), I like how the ponies look rounder and… https://t.co/SWIM8cfzJd",Anyway I really like new animation program I think Harmony I like ponies look rounder and… https //t.co/SWIM8cfzJd,0.16818181818181818
1154977141143945216,Sat Jul 27 04:49:43 +0000 2019,@Einchy My friend sat on him until I yelled at her,Einchy My friend sat I yelled,0.0
1154976770203852800,Sat Jul 27 04:48:15 +0000 2019,Not that I have A Lot Of Thoughts About Applejack,Not I A Lot Of Thoughts About Applejack,0.0
1154976701975126017,Sat Jul 27 04:47:58 +0000 2019,Like you could have it on the end of her nose and ears too and even give it some canon explanation like her spendin… https://t.co/cTbdSE27fO,Like could end nose ears even give canon explanation like spendin… https //t.co/cTbdSE27fO,0.0
1154976409586024448,Sat Jul 27 04:46:49 +0000 2019,The shading in the new animation program makes Applejack look in several shots like she's got a pronounced gradient… https://t.co/FqcvA2J5ol,The shading new animation program makes Applejack look several shots like 's got pronounced gradient… https //t.co/FqcvA2J5ol,0.06818181818181818
1154974413214760962,Sat Jul 27 04:38:53 +0000 2019,This computer box is bigger than my biggest BB-8 https://t.co/VQOKsKHN26,This computer box bigger biggest BB-8 https //t.co/VQOKsKHN26,0.0
1154950362312237056,Sat Jul 27 03:03:18 +0000 2019,@maxfieldstanton I know and my point of reference is we used to put harnesses on the horses that were about 50 poun… https://t.co/4SLILsSeuG,maxfieldstanton I know point reference used put harnesses horses 50 poun… https //t.co/4SLILsSeuG,0.0
1154949144252829696,Sat Jul 27 02:58:28 +0000 2019,"@BrentSimons @TheEricGoldman Megamind is good, you did a good job",BrentSimons TheEricGoldman Megamind good good job,0.7
1154948465283043328,Sat Jul 27 02:55:46 +0000 2019,@Yamino No that was my immediate thought,Yamino No immediate thought,0.0
1154947314428944384,Sat Jul 27 02:51:12 +0000 2019,"I just picked up my computer and the guy said it was about 40 pounds and I was like ""oh I can carry that"" and as I… https://t.co/tJ7aZ5Wh0z",I picked computer guy said 40 pounds I like `` oh I carry '' I… https //t.co/tJ7aZ5Wh0z,0.0
1154921451520049153,Sat Jul 27 01:08:26 +0000 2019,Somebody replied to me saying Woody was cucked,Somebody replied saying Woody cucked,0.0
1154877696909836289,Fri Jul 26 22:14:34 +0000 2019,@CE_Author No this comment is pro-carnival so we can safely assume that carnivals are not SJW,CE_Author No comment pro-carnival safely assume carnivals SJW,0.5
1154876595271696384,Fri Jul 26 22:10:11 +0000 2019,"I just spent 10 minutes trying hard to puzzle out what could even be construed as ""SJW"" about Toy Story 4 and can o… https://t.co/VfKLclkUdg",I spent 10 minutes trying hard puzzle could even construed `` SJW '' Toy Story 4 o… https //t.co/VfKLclkUdg,-0.19583333333333336
1154687953311948801,Fri Jul 26 09:40:35 +0000 2019,Yes I want to do a live premiere so everybody needs to start workshopping their Batuu-sonas https://t.co/4ZiMAEZwT1,Yes I want live premiere everybody needs start workshopping Batuu-sonas https //t.co/4ZiMAEZwT1,0.13636363636363635
1154687232680185856,Fri Jul 26 09:37:43 +0000 2019,@Jared_VanL Don't get excited it's just an extremely basic music festival that's called Tomorrowland,Jared_VanL Do n't get excited 's extremely basic music festival 's called Tomorrowland,0.1875
1154650735331536899,Fri Jul 26 07:12:42 +0000 2019,"@mcelreafilms It's a good thought and very tempting but probably not, because it's such a long wait. I can always d… https://t.co/1Oe2efB9JB",mcelreafilms It 's good thought tempting probably 's long wait I always d… https //t.co/1Oe2efB9JB,0.32499999999999996
